,verified,favourites_count,followers_count,friends_count,statuses_count,type
111437919,0,439.0,1294.0,1084.0,14837.0,2.0
111500387,0,179.0,80.0,330.0,1013.0,2.0
111610369,0,30.0,491.0,416.0,22694.0,2.0
111627902,0,57.0,406.0,1381.0,2317.0,2.0
111642648,0,7.0,89.0,191.0,1313.0,2.0
111657042,0,7.0,73.0,225.0,2370.0,2.0
111657842,0,28.0,139.0,152.0,6396.0,2.0
111686289,0,200.0,35.0,24.0,489.0,2.0
111728510,0,17.0,43.0,128.0,650.0,2.0
111802912,0,286.0,231.0,410.0,1292.0,2.0
111806565,0,50.0,743.0,810.0,4490.0,2.0
111838750,0,59.0,232.0,423.0,1432.0,2.0
111843255,0,4.0,270.0,405.0,2803.0,2.0
111846570,0,9.0,37.0,91.0,136.0,2.0
111854834,0,1590.0,978.0,991.0,3414.0,2.0
111861452,0,2309.0,209.0,215.0,6724.0,2.0
111873273,0,0.0,1277.0,1383.0,143.0,2.0
111909295,0,350.0,418.0,704.0,14665.0,2.0
111916723,0,0.0,120.0,1082.0,226.0,2.0
111953135,0,545.0,191.0,490.0,4006.0,2.0
111966199,0,55.0,93.0,277.0,649.0,2.0
111974167,0,0.0,4.0,0.0,182.0,2.0
111998495,0,23.0,288.0,218.0,1929.0,2.0
112024291,0,287.0,619.0,193.0,20544.0,2.0
112026366,0,97.0,1020.0,1009.0,12333.0,2.0
112043008,0,104.0,96.0,288.0,801.0,2.0
112044088,0,344.0,152.0,237.0,1264.0,2.0
112064184,0,20.0,16.0,53.0,114.0,2.0
112079602,0,2.0,57.0,58.0,1397.0,2.0
11213552,0,24.0,101.0,92.0,1050.0,2.0
112169006,0,6.0,63.0,261.0,113.0,2.0
112213647,0,1414.0,937.0,110.0,26577.0,2.0
112246589,0,10200.0,737.0,712.0,20809.0,2.0
112283633,0,2008.0,1498.0,1080.0,38024.0,2.0
112341640,0,3.0,9.0,79.0,196.0,2.0
112397403,0,14.0,244.0,668.0,4930.0,2.0
112427083,0,7.0,138.0,123.0,449.0,2.0
112455466,0,85.0,26.0,45.0,622.0,2.0
112460505,0,1.0,208.0,199.0,531.0,2.0
112520128,0,13.0,84.0,190.0,2294.0,2.0
112536536,0,108591.0,1187.0,1994.0,38245.0,2.0
112579778,0,7.0,190.0,267.0,2251.0,2.0
112596271,0,0.0,1283.0,3.0,382.0,2.0
112599130,0,10.0,88.0,249.0,284.0,2.0
112614378,0,5.0,216.0,180.0,3983.0,2.0
112668892,0,13.0,441.0,304.0,3994.0,2.0
